Title,Body,Category,SubCategory,Opened At,Team
leaver access cards,leaver cards dear colleagues please note received cards belonging leavers damaged destroyed assigned damaged destroyed cards leavers re great weekend best regards,Hardware,Monitor,1/3/2016 08:42,Hardware Team
list,hello possible added hire building strategy offer thanks,Hardware,CPU,1/3/2016 08:45,Hardware Team
device alert notification paper at internal path,device path printer details output copier details output saver mode scanner ready details panel off mode printing model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,Software,Operating System,1/3/2016 08:45,Software Team
career change for,change hello has tried change myself has failed errors please make change regards,Database,DB2,1/3/2016 08:48,DB Team
oracle expenses,hi find pending expense sheet please how,Network,DHCP,1/3/2016 08:48,Networking Team
view for,view dear please help computer thank weekend kind regards friday pm view hi possible please help colleague view her computer thank,Hardware,Monitor,1/3/2016 08:52,Hardware Team
monitor raiser request,monitor raiser hi please help installing raiser monitors thank senior developer,Database,Oracle,1/3/2016 08:52,DB Team
new account and confluence,confluence hello please help create user confluence possible kind regards discipline lead,Software,Operating System,1/3/2016 08:53,Software Team
wants to access it services,wants dear took over role please thank accept decline requests,Network,DNS,1/3/2016 08:53,Networking Team
confluence user creation,confluence user creation pass hi please confluence also please persons confluence create thanks,Network,IP Address,1/3/2016 08:53,Networking Team
contract is due to end,re contract due hi please note kind regards mobility officer contract due dear contract due please contract extended date note by disabled contract ended thank,Network,DHCP,1/3/2016 08:53,Networking Team
leaver snow,note mailbox receive messages,Hardware,Disk,1/3/2016 08:55,Hardware Team
leaver,hi forwarder leaver mailbox did leaver roaming profile did leaver ad rights did leaver other personal mailbox note mailbox receive messages,Inquiry / Help,Antivirus,1/3/2016 08:55,Support Team
leaver,hi name work location details note mailbox receive messages,Inquiry / Help,Antivirus,1/3/2016 08:59,Support Team
new purchase po,purchase po dear purchased dummy link please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Network,DNS,1/3/2016 08:59,Networking Team
new purchase po,purchase po dear purchased back cover please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Network,VPN,1/3/2016 09:00,Networking Team
card leaver,card leaver la parasite,Inquiry / Help,Email,1/3/2016 09:00,Support Team
change account membership,change membership hello please assign add groups membership moment thank kind regards engineer,Inquiry / Help,Email,1/3/2016 09:02,Support Team
new delivery,hello received po invoice please advise please log receiving shipment kind regards engineer ext,Hardware,Disk,1/3/2016 09:02,Hardware Team
support for monitor,monitor hi guys monitor because low work monitor help thanks best regards,Inquiry / Help,Email,1/3/2016 09:03,Support Team
a monitor,monitor good order monitor addition notebook order perform tasks more efficiently thanks best regards developer,Network,IP Address,1/3/2016 09:03,Networking Team
leaver form for leave date location snow,leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor bench area seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments work bench area near needed tickets automatically logged best regards note mailbox receive messages,Software,Email,1/3/2016 09:06,Software Team
laptop configuration of en,configuration hi please provide information configuration allocated currently work minis configuration proper thanks head mob,Network,IP Address,1/3/2016 09:06,Networking Team
address,dear please help analysis thank senior analyst,Database,MS SQL Server,1/3/2016 09:08,DB Team
pas ownership on collaboration,ownership collaboration dear required privilege mentioned code pm together pm thanks client,Inquiry / Help,Email,1/3/2016 09:08,Support Team
subscription query,creating main client side hello please consider creating main client side well communicate name role product owner expert stein application administrator expert pm expert pm same note teams available within subscription looks excellent substitution slack thank senior analyst ext,Network,Wireless,1/3/2016 09:10,Networking Team
assignment groups adjustment team,assignment groups adjustment has assigned dear please thank friday pm assignment groups adjustment has assigned pm pm pm ii pm give minutes done,Inquiry / Help,Internal Application,1/3/2016 09:10,Support Team
add user to all list,add user hello please by user thanks best regards,Database,MS SQL Server,1/3/2016 09:11,DB Team
oracle reports access,reports dear please help dear colleagues please provide prod reports entities ledgers user id thanks lot thursday pm re hi tried accessing timecard related reports without luck help custom programme report show approvers folder view perhaps visibility report folder view perhaps visibility thanks,Inquiry / Help,Antivirus,1/3/2016 09:11,Support Team
lost card for work phone swap,hello logged swap dear noticed losing card which had temporarily removed stored back phone please proceed locking out card remote wipe contents work phone thanks kind regards,Software,Operating System,1/3/2016 09:13,Software Team
new purchase po,purchase po dear purchased hub shuttle type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Software,Operating System,1/3/2016 09:13,Software Team
update to have me as the account manager for,update hi please update testing today dashboard seeing risks level which incorrect thanks,Software,Email,1/3/2016 09:14,Software Team
folder restriction to be,folder restriction dear please kind restrict folder backup users excepting these write,Network,VPN,1/3/2016 09:14,Networking Team
file sharing and uploading,friday re poll status down has assigned miscellaneous si pics ne si cine thursday pm re poll status down has assigned si invite regards coordinator thursday pm re poll status down has assigned ca finally si ad thursday re poll status down has assigned cum re poll status down has assigned super thanks re poll status down has assigned maine va re poll status down has assigned si implicate let si meeting calendar thanks friday re poll status down has assigned va tine si si care december re poll status down has assigned hey hey ca tot ca fie effort cum ca folder upload se doc thanks tuesday december pm re poll status down has assigned ne va se va wednesday november re poll status down has assigned care si ne care se november re poll status down has assigned si si cine mute care mute cum tuesday november re poll status down has assigned hello please let discuss screen copy event pictures moreover poll down partition same please advise next steps solving issue thank best regards senior engineer tuesday october pm poll status down has assigned hi help out well cover topic next meeting order how ensure folders moved file share folders moved avoid alerts thank october re poll status down has assigned hello suppose has also thank best regards senior engineer tuesday october re poll status down has assigned hi owner partition thank october poll status down has assigned hello partition pictures partition covered well during migration best regards senior engineer saturday october poll status down has assigned please advised record number has assigned please review details take appropriate action description poll status down poll output partition over threshold summary poll status down number priority moderate assignment location monitoring please link kind regards ref msg,Database,DB2,1/3/2016 09:15,DB Team
revise its mailbox permissions,friday pm re permissions attached document friday re permissions hello again update did bit sifting attached her revised version couple related which assume affect daily tool also backup highlighted which checked relevant member please well proceed removing unnecessary permissions obviously required well tracking thank best regards leader friday permissions importance high hello dear please kind help also add task planner obviously available bring contribution much needed move forward thank best regards leader thursday permissions maine cine view si cine si si la si si dedicate ore,Hardware,Memory,1/3/2016 09:15,Hardware Team
common mailbox setup on mobile,common mailbox setup mobile hello best again crying out help has phone where receive common mailbox please help has entered other configuration details copied phone thanks lot analyst,Inquiry / Help,Email,1/3/2016 09:16,Support Team
create account,create hello guys please create thank much great weekend,Software,Email,1/3/2016 09:16,Software Team
new accounts and access rights for,hi recently joined also he accounts locations user user customs customs publisher platform soled quickly possible because tight deadline has joined help out pm thank,Inquiry / Help,Email,1/3/2016 09:18,Support Team
customer feedback owners team leader change for team,feedback owners leader change hello please advised has replaced leader consequently please ensure low satisfaction score triggered complaint tickets automatically assigned let require further information side best regards care,Network,DNS,1/3/2016 09:18,Networking Team
oracle access rights new comer,rights comer dear please help dear colleagues please assign roles resp colleague ledger entities accounts payable accountant accountant intercompany accountant tax accountant reports ones has thank lead,Software,Operating System,1/3/2016 09:19,Software Team
po template changes,po template changes hi please thank engineer wednesday pm re po template changes hi had few updates these final ones fingers crossed moving please ensure po reference quoted invoice order avoid delays down decimal points decimals item price po terms conditions format justified layout example attached word doc possible align total under ordered appreciate cheers re po template changes hi done please regards friday december pm re po template changes hi attached contains more changes text please ensure po reference quoted invoice order avoid delays red better visibility bring quantity description pricing item description attached example cheers december re po template changes hi made requested changes please about po language templates each best regards engineer tuesday december pm re po template changes hi reviewed po amendments hard code text please ensure po reference quoted invoice order avoid delays center deliver name word promised text requested promised dates correspond date arrival location under words price ordered next figures example thanks december re po template changes hi modified po template test example screen also test phone entity please thanks wednesday december pm po template changes hi follow instructions amend po template test instance accordingly attached copy template currently questions please let hi kind enough change cheers thursday october pm re po template changes hi work progress moment po template extent his best tweak things around changes suggested ones presented attached please let concerns respect points addition phone under section intention automatically these by near future text saying invoice rejected po number reference please ensure po reference quoted invoice order avoid issues invoice processing mandatory po please ensure po reference quoted invoice order avoid delays removal promised date requested date po which currently disrupting way po displays items addition inside po against each possible bottom table avoid confusion raised about localization change po language depending entity which also explored agree important countries please let wish drop by further detail thanks kind regards thursday october re po template changes hi guys progressed action kind regards head wednesday pm re po template changes hi attached po which help format thanks po template changes hello per discussion morning interested find out further customize po template version extremely hard too lengthy attached sample file outcome produce by per discussions back few points wanted cover were addition phone under section intention automatically these by near future text saying invoice rejected po number reference mandatory po removal promised date requested date po body highlighted yellow addition inside po table avoid confusion etc kind regards,Software,Operating System,1/3/2016 09:19,Software Team
new project code oracle,code hi please create code attached offers cost recovery subtype understand make purchase requests against code please way also please update task pilot location discipline pilot pilot communications pilot planning pilot pilot alignment thanks please refer section entities,Software,Email,1/3/2016 09:22,Software Team
adding printer for,re printer hello today please let available stop by install printer please log thanks kind regards engineer printer hi chaps well advice how printers having luck help much appreciated thanks,Inquiry / Help,Internal Application,1/3/2016 09:22,Support Team
plural sight account,plural sight hello please let how plural sight courses order learn right way which thank engineer,Software,Operating System,1/3/2016 09:23,Software Team
password for account test database com,test database hi charge testing enrollment requests test database please test database thanks,Database,Oracle,1/3/2016 09:23,DB Team
change owner for mail list,change owner hello please change owner test database thank kind regards agile,Software,Email,1/3/2016 09:28,Software Team
new agile practice agile practice com,agile hello please add agile kind regards discipline lead,Network,Wireless,1/3/2016 09:28,Networking Team
remove obsolete permissions on mailbox,obsolete permissions mailbox hello please kind log under name rows red attached spreadsheet permissions red specified mailbox further details required please liaise he needs kept updated about progress thank best regards leader friday permissions clean si tine la cum merge re permissions si merci fain kind regards thursday pm permissions discussed red needs removal change thanks,Hardware,CPU,1/3/2016 09:29,Hardware Team
password for cohen,re release hello please user cohen urgent user cannot needed application user exists thank kind regards analyst friday re release hey user id confluence thanks information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,Inquiry / Help,Internal Application,1/3/2016 09:29,Support Team
access for,hello please give wireless groups member continue activities best regards,Hardware,Memory,1/3/2016 09:31,Hardware Team
open december period for other adjustments,please rise next tickets hello please rise next tickets assign summary december period other adjustments please requester kind regards engineer,Database,MS SQL Server,1/3/2016 09:31,DB Team
check user rights environment assigned administrator access,please rise next tickets hello please rise next tickets assign summary user rights environment assigned administrator please requester kind regards engineer,Database,Oracle,1/3/2016 09:36,DB Team
change data on internal adjustments for dec,please rise next tickets hello please rise next tickets assign summary change adjustments kind regards engineer,Software,Email,1/3/2016 09:36,Software Team
open december period for some adjustments,please rise next tickets hello please rise next tickets assign summary december period adjustments please requester kind regards engineer,Inquiry / Help,Email,1/3/2016 09:36,Support Team
electricity tests for,electricity tests hi building facility perform electricity test backup which conducted please log present during activity issues arise let assist weekend ahead best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,Software,Operating System,1/3/2016 09:36,Software Team
access,hi please thank,Network,VPN,1/3/2016 09:36,Networking Team
restore staff export job for on test environment and create it on live,please rise next tickets hello please rise next tickets assign summary restore export job test environment create kind regards engineer,Network,DHCP,1/3/2016 09:36,Networking Team
modify end date for project instances,modify date instances morning please log under name assign queue cheers engineer friday modify date instances hello please modify date instances date moment come back decommission instances thank kind regards agile,Network,DHCP,1/3/2016 09:41,Networking Team
your password expire days for one com,friday expire days importance high sd please thanks,Hardware,CPU,1/3/2016 09:41,Hardware Team
help with fusion,re help hi added two days annual leave please submit card kind regards thursday pm help hi members has had extend his annual leave include today tomorrow please update his thursday friday indicate annual leave submit his accordingly talked issue she fully thanks help cheers editorial consultant,Software,Email,1/3/2016 09:42,Software Team
license,license hi deal lot example parse image human face images diagram skin doctor choose part face throat which were affected by also coordinates inside component big image face images sometimes loading too slow allow functionalities licensed gain license thank kind regards va analyst,Network,IP Address,1/3/2016 09:42,Networking Team
assign pm to,assign pm hi assign pm code please thanks br officer,Database,MS SQL Server,1/3/2016 09:42,DB Team
leaver notification,leaver hello please log please help generate leaver instead her needed thank,Software,Operating System,1/3/2016 09:42,Software Team
admin rights,re wants hi please help rights benefits folder benefits entire folder thank,Inquiry / Help,Internal Application,1/3/2016 09:43,Support Team
mailing to be created,mailing created hi guys mailing created owners members thanks,Database,MS SQL Server,1/3/2016 09:43,DB Team
sales pipeline chart data check,pipeline chart hello please log best regards senior engineer thursday hi right person november maybe refers thank officer,Network,IP Address,1/3/2016 09:44,Networking Team
reports employee assignments travel documents necessary amendments,re reports assignments amendments hello assignments report other under please advise report please thank engineer thursday pm reports assignments amendments hello writing kind help amendments regarding reports having recently reviewed reports noticed report information multiplied report ex person appears more times columns contain doc passport number number display information certain due column formatted accordingly probably formatted number text result passport number instead docs extracted report active assignments type colombia extracted report even than assignment assignments report suspended status report even active ex her assignments twice active suspended status client name extracted assignments created please help fixing issues let questions thank help kind regards mobility officer ext,Inquiry / Help,Internal Application,1/3/2016 09:44,Support Team
wants to access people operations,wants please accept decline requests,Database,Oracle,1/3/2016 09:45,DB Team
access to servers,hello please log best regards senior engineer thursday re hello due part anymore redirect please kind regards engineer thursday care nostrum inventory ca owner si ne care face la build etc engineer,Database,DB2,1/3/2016 09:45,DB Team
annual leave for,annual leave hello seems st logged annual leave please annual leave these days thanks,Inquiry / Help,Internal Application,1/3/2016 09:46,Support Team
extension contractor,extension contractor hi please extend until please note his extend date yet confirmed once please update again thanks kind regards mobility officer,Software,Operating System,1/3/2016 09:46,Software Team
career change oracle for,change hi update profile please currently thank,Hardware,Disk,1/3/2016 09:47,Hardware Team
direct reports missing time,please action reports dear help advice possible part anymore reported cards were reported leavers closed best regards specialist wednesday pm re please action reports head wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,Software,Email,1/3/2016 09:47,Software Team
report,report hi had issues creating report helped recreate report ledger kindly asking create assign her kind regards analyst,Database,Oracle,1/3/2016 09:50,DB Team
help with fusion,help hi members has had extend his annual leave include today tomorrow please update his thursday friday indicate annual leave submit his accordingly talked issue she fully thanks help cheers editorial consultant,Inquiry / Help,Internal Application,1/3/2016 09:50,Support Team
device alert notification paper at internal path,device path printer details tray tray output copier details tray tray output scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,Hardware,Mouse,1/3/2016 09:54,Hardware Team
server shutdown,shutdown hi require shutdown then terminated after details needs saved required proceed please let micro machine os public thanks senior,Hardware,Keyboard,1/3/2016 09:54,Hardware Team
wants to access contract management,wants contract documentation required work architecture accept decline requests,Software,Operating System,1/3/2016 09:55,Software Team
send as permission for on purchasing com,permission hi guys please kind permissions mailbox thanks kind regards,Software,Email,1/3/2016 09:55,Software Team
access to purchasing,hi please assign thank best regards engineer thursday pm hello please extend by unit copied reference thank great accounts payable,Inquiry / Help,Email,1/3/2016 09:56,Support Team
new starter contractor access card,re contractor hi please response thanks mobility officer contractor hi per contractor commencing has advised attending his st commencing he scheduled working he also pass please thanks re contractor hi completion regards pass please provide kind regards tuesday pm re contractor hi please assistance permanent pass has advised attending his st commencing he scheduled working he also pass then assist possibly right thanks contractor hi please add contractor complete name job title consultant date date july location entity thanks,Network,VPN,1/3/2016 09:56,Networking Team
obsolete or wrong record for annual leave oracle,obsolete wrong record annual leave hi kind help annual leave november status waiting obsolete deleted approved regards senior infrastructure engineer infrastructure upcoming holiday none id,Network,Wireless,1/3/2016 09:57,Networking Team
please increase size,please increase size dear please increase size receive thanks lot kind regards,Hardware,Keyboard,1/3/2016 09:57,Hardware Team
new purchase po,purchase po dear purchased raspberry pi card plat plat please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Inquiry / Help,Internal Application,1/3/2016 10:01,Support Team
new purchase po,purchase po dear purchased brother brother black yellow brother brother please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Hardware,CPU,1/3/2016 10:01,Hardware Team
need of nexus server,nexus hi appears developers testers issues build problem seems timeout maven nexus which dependencies hosted effectively blocks daily work since cannot run builds during please nexus order maven repository located thank,Hardware,Memory,1/3/2016 10:04,Hardware Team
us location addition,location addition hi please create work location ability hire seattle washington please let has completed thank assistance best regards location states washington seattle specialist,Inquiry / Help,Internal Application,1/3/2016 10:04,Support Team
wants to access testing,wants testing dear please location regards accept decline requests,Software,Operating System,1/3/2016 10:10,Software Team
new delivery,hello received items intend computer raspberry pi card plat plat po brother brother black yellow brother brother po please advise please log thank engineer,Database,Oracle,1/3/2016 10:10,DB Team
access to,dear colleagues help by providing tool best regards find out more about experience lead blvd floor,Network,DNS,1/3/2016 10:10,Networking Team
new starter,please,Database,MS SQL Server,1/3/2016 10:10,DB Team
new starter lists,lists shared other than location discipline please specify where rights required,Software,Email,1/3/2016 10:11,Software Team
new starter client,please client site site configured,Inquiry / Help,Internal Application,1/3/2016 10:11,Support Team
hosting code,hosting code hi regarding source control hosting how much take repository cost how much thanks regards,Software,Email,1/3/2016 10:12,Software Team
changes invoice volumes report,re changes invoice volumes report hi thanks thursday pm changes invoice volumes report hi believe teams assist kind regards engineer changes invoice volumes report hello please add additional column report invoice volumes report invoice amount transactions converted also please advised corporate rate invoicing thank kind regards,Network,DHCP,1/3/2016 10:12,Networking Team
click share install,share install hi guys que install best regards engineer nature ext nature,Software,Email,1/3/2016 10:14,Software Team
factory reset request,factory dear please log assign performing factory her work phone asking pin number thanks kind regards engineer,Software,Operating System,1/3/2016 10:14,Software Team
notification for outage,outage hi guys please make reminder tomorrow per let questions regards coordinator thursday pm re outage hi thanks reminder also reminder tomorrow regards coordinator thursday pm re outage hello everyone kind reminder cr due take saturday thank outage hi change scheduled next which part upgrade meant saturday during interval outage let alright side approve thank,Network,IP Address,1/3/2016 10:16,Networking Team
add users to confluence prod users,add users confluence prod users hello please add confluence prod users confluence thank senior developer,Inquiry / Help,Email,1/3/2016 10:16,Support Team
access to one discipline service desk,discipline hi please urgently provide discipline tx,Hardware,Keyboard,1/3/2016 10:16,Hardware Team
team eel,eel hello help these changes eel tower floor agreed change her available floor thank discipline lead thursday cum loc id role name skill grade available analyst cl lead sc senior developer senior developer cl developer developer senior tester tester head testing,Software,Operating System,1/3/2016 10:16,Software Team
eel server access,eel hello members remote machine please log assign kind regards engineer,Hardware,Monitor,1/3/2016 10:16,Hardware Team
encryption shared mailbox,shared mailbox dear please help ad issued digital certificate user please find communication thank kind regards thursday pm re shared mailbox hi think ask directly acting intermediary cannot myself think question ask please ad issued digital certificate user which seems ad name linked shared mailbox purpose digital certificate enable secure make has listed under enhanced key usage once certificate created exported along key protected file arrange imported onto certificates stores members enable signed shared mailbox file course make same channel file file over over example kind regards shared mailbox hi had discussion related understand intended user mailbox tricky manage share mailbox please help add certificate shared mailbox manageable suggest solution thank kind regards sox controls,Network,DHCP,1/3/2016 10:16,Networking Team
access to oracle project billing on,billing hello please help location asap joined billing recently folders order thank programme portfolio officer,Software,Operating System,1/3/2016 10:22,Software Team
travel team second monitor,re second monitor thank hi please allocate monitor monitor raisers actual monitor second monitor he receive kind regards administrator thursday pm re second monitor hello please issue monitor thursday pm second monitor hi had joiner months ago want ask approve second monitor him think find him kind regards administrator,Database,MS SQL Server,1/3/2016 10:22,DB Team
oracle procurement preparer role needed for louden,preparer role needed hi kindly assist kind regards functional analyst thursday pm preparer role needed hi please preparer role please possible kind regards administrator,Hardware,Memory,1/3/2016 10:23,Hardware Team
network cables required,cables required hello please help raising allocate two networking cables myself second thank infrastructure,Software,Operating System,1/3/2016 10:23,Software Team
roles prod,roles prod hi please she billing please kind regards,Inquiry / Help,Email,1/3/2016 10:23,Support Team
old please advise,old please advise hi please issue assign thank best regards engineer thursday pm re old please advise hi please approve kind regards administrator thursday pm re old please advise hi needs same thanks officer thursday pm old please advise hi please advise kind regards administrator,Software,Operating System,1/3/2016 10:23,Software Team
manage com,manage hello owner possible please rights manage add members thanks,Database,MS SQL Server,1/3/2016 10:27,DB Team
create new project site on one com,create site hello kind creation site assign title code status closed type commercial commercial entity person name thank kind regards analyst,Database,Oracle,1/3/2016 10:27,DB Team
mail change supporting with opportunity,supporting opportunity please make change br re supporting opportunity great forgot say think good idea ask change had few occasions where whatever reason making probably ideal building relationships internally worth asking change cheers head id image date wednesday aw supporting opportunity thanks feedback speak tomorrow br re supporting opportunity thanks best luck cheers head id image date wednesday re supporting opportunity hi also help agreement adjust germany liaise kind regards re supporting opportunity reached out better understand background plan visit cheers head insights main main re supporting opportunity super thanks please liaise opportunity develops he feel properly make best he stage more then presume requires conversation cheers head id image date wednesday re supporting opportunity hi arrangement let cover thanks director wednesday pm supporting opportunity hi large once please drop whoever relevant directly fill everyone has opportunity described ask touch regarding having attend meeting him please available understand fall recommended involve yourself provide question around which help take machine positive meeting please liaise work out meting also consultant engage cost attend meeting believe increase chances winning work please okay he known client question improve ability gain client confidence work outlay work his involvement detail train munich return today rate approx work flat plus vat additional vat reimbursements has short contract sign amendments enable please liaise help facilitate yourself next meeting require give call cheers head id image date tuesday hi help meeting periscope has invited next come grown within top clients terms main integrate real analysis platform coming meeting ones decision forward bring idea capabilities machine learning particular skills around important engineer selenium technological stacks references riot react flux reflux redux stack apache thrift swagger addition permission contract pre colleague client knows has played important role boarding process technical help picking technical requirements position offering he has done times while december spoke seems addition experts requirements educate slides information build presentation br re herr herr die per brief link auf die senior main main confidential privileged received error please notify immediately then delete please copy disclose contents purpose,Network,DHCP,1/3/2016 10:34,Networking Team
access,dear colleagues colleague needs optimization please rights thank help kind regards,Inquiry / Help,Internal Application,1/3/2016 10:34,Support Team
new starter tower,starter discipline dear please informed candidate accepted job offer become within discipline analyst se please create her credentials per attached form thank best regards,Software,Email,1/3/2016 10:35,Software Team
set approver role for sn,approver role sn hello please add approver cab further information please hesitate best regards engineer,Inquiry / Help,Antivirus,1/3/2016 10:35,Support Team
owner rights for am java support team,owner rights hello please add user owner approve best regards engineer,Software,Operating System,1/3/2016 10:36,Software Team
access request,dear please reports reports forms view thank kind regards,Database,Oracle,1/3/2016 10:36,DB Team
new snow contact for lux,snow lux,Network,Wireless,1/3/2016 10:38,Networking Team
internal audit forbidden software,forbidden software hi checked report forbidden software looks colleagues having games torrent based file sharing file store clients installed assets please find please reminder ask these forbidden growth reserved assets please status user location software product name date assigned assigned growth ii assigned legends assigned warcraft growth legends assigned battle assigned battle assigned warcraft assigned battle assigned ii assigned battle assigned heroes complete assigned battle thanks,Database,DB2,1/3/2016 10:38,DB Team
monitor mouse request,monitor mouse hello according relocation tower good monitor mouse help please issue thank regards android developer,Software,Email,1/3/2016 10:39,Software Team
access to storage people development,storage dear colleagues please folder best regards,Database,DB2,1/3/2016 10:39,DB Team
add users to nexus,add users nexus hello kind add user nexus prod please assign thank kind regards analyst,Database,MS SQL Server,1/3/2016 10:39,DB Team
returning from maternity leave,re returning maternity leave hi please attached added comment manually location please let other details thank wednesday returning maternity leave hi please fill she returning maternity leave february thank regards id image cd,Hardware,CPU,1/3/2016 10:39,Hardware Team
access to folder,folder dear please provide location libraries graduates internship view ribbon kind regards specialist,Network,VPN,1/3/2016 10:43,Networking Team
request for information about new starter process,re logged starter ad hi has his ad credentials ready he him his prior his date please advise thanks mobility officer,Hardware,CPU,1/3/2016 10:43,Hardware Team
second floor assign extension pin,second floor assign extension pin hello install spare second floor floor resource name second floor please assign extension pin device floor kind regards engineer ext,Database,DB2,1/3/2016 10:46,DB Team
com decommissioning,decommissioning hi please log order decommission assign appropriate anymore discovered several vulnerabilities regards engineer,Hardware,Disk,1/3/2016 10:46,Hardware Team
access rights,rights hi create where both myself add participants off these days please help adjust analysis compositions thanks head analysis,Network,IP Address,1/3/2016 10:47,Networking Team
set password to never expire for generic user,never expire generic user hello please never expired user generic user by additional information please hesitate best regards engineer,Inquiry / Help,Antivirus,1/3/2016 10:47,Support Team
access to people development,dear please approve location libraries view ribbon how expect kind regards specialist,Software,Operating System,1/3/2016 10:49,Software Team
notification investigation work,investigation work dear make investigations down period please announce tower users about thanks best regards technician ext please refer section entities,Inquiry / Help,Internal Application,1/3/2016 10:49,Support Team
access to,marketplace hello due leaving hand over few brave colleagues take over marketplace lead duties please help performing tasks assign marketplace create called marketplace where marketplace created make him administrator together backup form fill recent version please by quickly information cannot he received invalid user please help him subject thank senior engineer,Network,Wireless,1/3/2016 10:53,Networking Team
add as oracle pas mail account,add hello assistance setting role unfortunately cannot make amendments require further information approvals let gladly assist best regards care,Database,Oracle,1/3/2016 10:53,DB Team
access to from slave,slave dear slave clients purpose instance reach assigned slave please provide slave thank developer,Inquiry / Help,Email,1/3/2016 10:54,Support Team
for contractor,wednesday pm re thank mainly mainly manage give her appropriate roles also take responsibility notifying both she leaves think please let notify thank much again re hi make ad hoc user sorry process form fill over per please create ad user per she instead consultant working advisors she needs suggest her user name provide underscore highlight user book avoid giving her membership ad groups also needs her which ad groups uses uses guess add ask required finally expire months where based she comes also assume ask directly give once created appropriate role roles finally responsible notifying required kind regards information compliance officer extension re hi also give avoid giving generic user profile where got please thanks re thanks both appreciate concerns raised facilitate possible right assessment she needs easier way course give little context working critical part which sharing sensitive confidential etc signed also sign want thanks again wrote realistically preference too has expressed wish directory which needs join calls he downloaded client software via interface he make call having log expect wants call possibly meetings which calendar which needs easier then think employer by looks possible book based her ask federate watch kind regards re hello record dates way easily tracking leaves disable her working third party supplier normally add suppose needed count part mention has working while contractor think he has communicates his personal make calls understand anybody download terms book has format relatively easy work out how easy connect think same area think explored setting her regards re hi figure out way joining contractor example treater her arrival other require these background checks these works supplier letter confirmation employer performed background checks checks performed agreement comply policy information classification policy handling guidelines these by she agrees comply assume plan via browser her connected guest wireless won giving her nor allowing her connect her own give wireless change every guest gives she connect browser seen thread wants provide consultant professional supplier add kind regards hi advice best regards analyst ext history reference history additional comments visible update task task assignment assignee owner closed complete work notes description hi possible give working number months number related possible thanks hi possible join book more ref msg,Software,Operating System,1/3/2016 10:54,Software Team
new,hi created called please help out creation please make owner add form thank,Database,Oracle,1/3/2016 10:57,DB Team
delete somebody to,delete somebody hi kindly ask billing billing thanks best regards,Database,Oracle,1/3/2016 10:57,DB Team
new purchase po,purchase po dear purchased peripheral raiser please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Hardware,Mouse,1/3/2016 11:00,Hardware Team
end decommissioning,decommissioning hello please order decommission note stopped ask days about decommissioned best regards engineer,Network,IP Address,1/3/2016 11:00,Networking Team
servers audit decommission rom,hello please order decommission rom anymore best regards engineer wednesday re hi haven say safe decommission regards pm re hi explicitly machine continue commissioned then take response decommission believe machine related old proposal together few years ago which required configuration setup few weeks stopped ever since pm re hello performing determine unused owner rom please let running decommission looking forward best regards engineer,Hardware,Memory,1/3/2016 11:01,Hardware Team
decommission,conversation hello please order decommission anymore bets regards engineer conversation care se owner ii care el merci ca,Database,Oracle,1/3/2016 11:01,DB Team
servers audit decommission,hello please order decommission best regards engineer re hi decommissioned view thank hello performing determine unused owner please let running decommission looking forward best regards engineer,Software,Email,1/3/2016 11:03,Software Team
servers audit,hello please order decommission anymore best regards engineer re hello anymore regards pm hello performing determine unused owner please let running decommission looking forward best regards engineer,Software,Operating System,1/3/2016 11:03,Software Team
access rights for team on server,rights hello please order rights instance running please please assign directly configured best regards engineer,Hardware,Mouse,1/3/2016 11:04,Hardware Team
